"","Country","Average_netmigr","Average_GDP","Total_terro_events","Region"
"1","Angola",0.196,"1.05922E+11",9,"Africa"
"2","Argentina",3.564,"2.62182E+12",12,"South America"
"3","Armenia",-10.372,"2.62182E+12",5,"Asia"
"4","Australia",40.218,"2.62182E+12",30,"Oceania"
"5","Austria",32.324,"2.62182E+12",5,"Europe"
"6","Azerbaijan",-13.286,"2.62182E+12",5,"Asia"
"7","Bahrain",29.388,"2.62182E+12",43,"Asia"
"8","Bangladesh",-8.82,"2.62182E+12",664,"Asia"
"9","Belgium",8.956,"2.62182E+12",13,"Europe"
"10","Benin",-22.022,"2.62182E+12",1,"Africa"
"11","Bolivia",1.684,"2.62182E+12",3,"South America"
"12","Brazil",-7.182,"16895256426",23,"South America"
"13","Bulgaria",-15.38,"16895256426",4,"Europe"
"14","Burkina Faso",-1.862,"16895256426",280,"Africa"
"15","Cambodia",8.284,"16895256426",1,"Asia"
"16","Cameroon",3.584,"16895256426",634,"Africa"
"17","Canada",30.098,"1.63739E+12",39,"North America"
"18","Chile",5.186,"73232272262",110,"South America"
"19","China",-6.524,"73232272262",42,"Asia"
"20","Colombia",-5.392,"73232272262",798,"South America"
"21","Costa Rica",6.642,"73232272262",2,"Central America"
"22","Cyprus",37.774,"22756756953",2,"Asia"
"23","Czech Republic",12.242,"2.20505E+11",9,"Europe"
"24","Denmark",13.664,"2.20505E+11",9,"Europe"
"25","Dominican Republic",-11.23,"80272839770",1,"North America"
"26","Ecuador",-2.4,"1.03704E+11",24,"South America"
"27","Estonia",21.556,"55747270118",1,"Europe"
"28","Ethiopia",3.708,"55747270118",84,"Africa"
"29","Finland",-0.052,"55747270118",18,"Europe"
"30","France",0.91,"55747270118",138,"Europe"
"31","Gabon",6.924,"55747270118",5,"Africa"
"32","Georgia",4.232,"55747270118",7,"Asia"
"33","Germany",46.722,"55747270118",176,"Europe"
"34","Ghana",19.91,"55747270118",6,"Africa"
"35","Greece",-28.282,"55747270118",162,"Europe"
"36","Guatemala",-3.52,"55747270118",2,"Central America"
"37","Haiti",-5.862,"14618460434",10,"North America"
"38","Honduras",2.502,"14618460434",7,"Central America"
"39","Hungary",-23.47,"1.44079E+11",3,"Europe"
"40","India",-26.84,"2.52665E+12",4389,"Asia"
"41","Indonesia",8.288,"2.52665E+12",144,"Asia"
"42","Iraq",-0.58,"2.52665E+12",10700,"Asia"
"43","Ireland",42.066,"3.39812E+11",77,"Europe"
"44","Israel",-3.696,"3.47451E+11",270,"Asia"
"45","Italy",-16.29,"1.95372E+12",49,"Europe"
"46","Jamaica",-13.666,"15048382267",2,"North America"
"47","Japan",13.464,"15048382267",14,"Asia"
"48","Jordan",-55.85,"41464707684",29,"Asia"
"49","Kazakhstan",-0.204,"1.69896E+11",4,"Asia"
"50","Kenya",29.042,"79088636338",333,"Africa"
"51","Kuwait",44.446,"1.23994E+11",3,"Asia"
"52","Latvia",-3.34,"16635369580",1,"Europe"
"53","Lebanon",-39.004,"52247609168",123,"Asia"
"54","Libya",-5.378,"39324311869",1393,"Africa"
"55","Lithuania",-5.458,"39324311869",2,"Europe"
"56","Madagascar",-13.468,"39324311869",1,"Africa"
"57","Malawi",10.976,"39324311869",8,"Africa"
"58","Malaysia",-7.068,"39324311869",37,"Asia"
"59","Mali",-0.206,"39324311869",664,"Africa"
"60","Malta",46.254,"39324311869",4,"Europe"
"61","Mexico",23.682,"39324311869",102,"Central America"
"62","Moldova",-41.29,"39324311869",1,"Europe"
"63","Morocco",-27.986,"39324311869",2,"Africa"
"64","Mozambique",15.38,"39324311869",300,"Africa"
"65","Nepal",-11.304,"39324311869",637,"Asia"
"66","Netherlands",9.708,"39324311869",20,"Europe"
"67","New Zealand",34.008,"39324311869",3,"Oceania"
"68","Nicaragua",0.94,"39324311869",10,"Central America"
"69","Nigeria",14.896,"39324311869",2819,"Africa"
"70","Norway",-8.742,"39324311869",4,"Europe"
"71","Pakistan",-25.92,"39324311869",3668,"Asia"
"72","Panama",3.362,"39324311869",1,"Central America"
"73","Papua New Guinea",33.346,"39324311869",8,"Oceania"
"74","Paraguay",-0.1,"39324311869",48,"South America"
"75","Peru",28.124,"39324311869",28,"South America"
"76","Philippines",-7.87,"39324311869",3114,"Asia"
"77","Poland",-1.318,"39324311869",4,"Europe"
"78","Qatar",81.536,"39324311869",1,"Asia"
"79","Rwanda",-4.542,"39324311869",11,"Africa"
"80","Saudi Arabia",42.566,"39324311869",431,"Asia"
"81","Senegal",-6.254,"39324311869",6,"Africa"
"82","Serbia",-23.942,"39324311869",3,"Europe"
"83","South Africa",4.09,"39324311869",125,"Africa"
"84","Spain",13.824,"39324311869",14,"Europe"
"85","Sri Lanka",-26.052,"39324311869",75,"Asia"
"86","Sudan",-24.768,"48949794742",505,"Africa"
"87","Sweden",36.768,"5.29623E+11",77,"Europe"
"88","Switzerland",80.88,"1523606002",4,"Europe"
"89","Tanzania",15.038,"3.85067E+12",27,"Africa"
"90","Thailand",-2.934,"3.85067E+12",1098,"Asia"
"91","Trinidad and Tobago",-3.978,"23580072876",3,"North America"
"92","Tunisia",-62.158,"40668821302",70,"Africa"
"93","Turkey",-14.638,"8.26559E+11",1314,"Asia"
"94","Uganda",-7.074,"32032921467",52,"Africa"
"95","Ukraine",-25.502,"1.16252E+11",829,"Europe"
