Country,GDP,Average_netmigr,Total_terro_events,Region
United States,7.331087543,8.706,316,NORTHERN_AMERICA
China,7.156637062,-6.524,42,ASIA
Japan,6.706014966,13.464,14,ASIA
Germany,6.5867137,46.722,176,EUROPE
India,6.457719863,-26.84,4389,ASIA
United Kingdom,6.45164956,19.506,528,EUROPE
France,6.43385273,0.91,138,EUROPE
Italy,6.301805852,-16.29,49,EUROPE
Brazil,6.26476071,-7.182,23,LATIN_AMER
Canada,6.239656187,30.098,39,NORTHERN_AMERICA
Australia,6.14506178,40.218,30,OCEANIA
Spain,6.14410402,13.824,14,EUROPE
Mexico,6.10341731,23.682,102,LATIN_AMER
Indonesia,6.048904124,8.288,144,ASIA
Netherlands,5.957631641,9.708,20,EUROPE
Saudi Arabia,5.899255026,42.566,431,NEAR_EAST
Turkey,5.881627417,-14.638,1314,NEAR_EAST
Switzerland,5.847006248,80.88,4,EUROPE
Poland,5.775142925,-1.318,4,EUROPE
Thailand,5.735238677,-2.934,1098,ASIA
Belgium,5.72680661,8.956,13,EUROPE
Sweden,5.724999529,36.768,77,EUROPE
Nigeria,5.651394743,14.896,2819,AFRICA
Argentina,5.648794261,3.564,12,LATIN_AMER
Austria,5.648433583,32.324,5,EUROPE
Norway,5.605667379,-8.742,4,EUROPE
Israel,5.596214539,-3.696,270,EUROPE
Ireland,5.589613101,42.066,77,EUROPE
Philippines,5.576105717,-7.87,3114,ASIA
Malaysia,5.561913575,-7.068,37,ASIA
South Africa,5.545840871,4.09,125,AFRICA
Denmark,5.544197479,13.664,9,EUROPE
Colombia,5.510029958,-5.392,798,LATIN_AMER
Bangladesh,5.480827665,-8.82,664,ASIA
Chile,5.450738814,5.186,110,LATIN_AMER
Pakistan,5.444391322,-25.92,3668,ASIA
Finland,5.430230403,-0.052,18,EUROPE
Vietnam,5.418170726,-5.736,3,ASIA
Czechia,5.39912056,12.242,9,EUROPE
Iraq,5.369390362,-0.58,10700,NEAR_EAST
Peru,5.355735052,28.124,28,LATIN_AMER
Greece,5.321914688,-28.282,162,EUROPE
New Zealand,5.315820867,34.008,3,OCEANIA
Kazakhstan,5.259273435,-0.204,4,IND_STATES
Qatar,5.245111626,81.536,1,NEAR_EAST
Hungary,5.21343552,-23.47,3,EUROPE
Ukraine,5.186902876,-25.502,829,IND_STATES
Kuwait,5.129137145,44.446,3,NEAR_EAST
Morocco,5.078095331,-27.986,2,AFRICA
Ecuador,5.031148476,-2.4,24,LATIN_AMER
Slovakia,5.021518713,-18.114,2,EUROPE
Ethiopia,4.981875622,3.708,84,AFRICA
Kenya,4.980017417,29.042,333,AFRICA
Dominican Republic,4.949103472,-11.23,1,LATIN_AMER
Angola,4.948489732,0.196,9,AFRICA
Sri Lanka,4.924324697,-26.052,75,ASIA
Guatemala,4.884853995,-3.52,2,LATIN_AMER
Myanmar,4.881303912,41.878,357,ASIA
Bulgaria,4.836063303,-15.38,4,EUROPE
Ghana,4.825968707,19.91,6,AFRICA
Panama,4.824781664,3.362,1,LATIN_AMER
Tanzania,4.800559468,15.038,27,AFRICA
Costa Rica,4.790998208,6.642,2,LATIN_AMER
Uzbekistan,4.762838199,8.958,1,IND_STATES
Uruguay,4.748543948,-6.07,1,LATIN_AMER
Lithuania,4.737410625,-5.458,2,EUROPE
Libya,4.716763964,-5.378,1393,AFRICA
Lebanon,4.715933471,-39.004,123,NEAR_EAST
Serbia,4.711596495,-23.942,3,EUROPE
Azerbaijan,4.681672125,-13.286,5,IND_STATES
Jordan,4.648388272,-55.85,29,NEAR_EAST
Bolivia,4.611673641,1.684,3,LATIN_AMER
Cameroon,4.591146496,3.584,634,AFRICA
Tunisia,4.588794647,-62.158,70,AFRICA
Bahrain,4.586295455,29.388,43,NEAR_EAST
Paraguay,4.581440909,-0.1,48,LATIN_AMER
Uganda,4.546112561,-7.074,52,AFRICA
Latvia,4.532791485,-3.34,1,EUROPE
Estonia,4.497911932,21.556,1,EUROPE
Nepal,4.486308329,-11.304,637,ASIA
Sudan,4.4844914,-24.768,505,AFRICA
Cambodia,4.432799222,8.284,1,ASIA
Honduras,4.399594044,2.502,7,LATIN_AMER
Cyprus,4.397052019,37.774,2,NEAR_EAST
Papua New Guinea,4.3949611,33.346,8,OCEANIA
Trinidad and Tobago,4.385064673,-3.978,3,LATIN_AMER
Senegal,4.372508512,-6.254,6,AFRICA
Zambia,4.367538061,48.324,2,AFRICA
Zimbabwe,4.331240151,7.688,7,AFRICA
Georgia,4.242473236,4.232,7,IND_STATES
Mali,4.237532848,-0.206,664,AFRICA
Gabon,4.227229632,6.924,5,AFRICA
Jamaica,4.216378933,-13.666,2,LATIN_AMER
Burkina Faso,4.203870288,-1.862,280,AFRICA
Mozambique,4.184448618,15.38,300,AFRICA
Malta,4.175784704,46.254,4,EUROPE
Benin,4.158082194,-22.022,1,AFRICA
Haiti,4.156311747,-5.862,10,LATIN_AMER
Madagascar,4.149669537,-13.468,1,AFRICA
Armenia,4.13585753,-10.372,5,IND_STATES
Nicaragua,4.097636077,0.94,10,LATIN_AMER
Moldova,4.078047467,-41.29,1,IND_STATES
Rwanda,4.015125682,-4.542,11,AFRICA
Malawi,3.88460872,10.976,8,AFRICA
